condition,throughput_winner,winner_throughput_mbps,utilization_winner,winner_utilization
Terrestrial,bbrv3,83.8791126954505,bbrv3,0.9319901410605611
LEO,bbrv3,45.51863940958665,bbrv3,0.910372788191733
Geo 500Ms,bbrv3,17.02420038825359,bbrv3,0.8512100194126795
Geo 1000Ms,bbrv3,6.887980144102492,bbrv3,0.6887980144102493
delay | loss=0% | delay=10ms | rate=50Mbps,cubic,47.82091057567111,cubic,0.9564182115134223
delay | loss=0% | delay=20ms | rate=50Mbps,cubic,47.822127467310125,cubic,0.9564425493462023
delay | loss=0% | delay=50ms | rate=50Mbps,cubic,47.81977423148008,cubic,0.9563954846296016
delay | loss=0% | delay=100ms | rate=50Mbps,cubic,47.83024511487833,cubic,0.9566049022975666
delay | loss=0% | delay=200ms | rate=50Mbps,cubic,47.820899895663345,cubic,0.9564179979132668
delay | loss=0% | delay=500ms | rate=50Mbps,cubic,47.820866952608995,cubic,0.95641733905218
delay | loss=0% | delay=1000ms | rate=50Mbps,cubic,47.82099240303226,cubic,0.956419848060645
loss | loss=0% | delay=50ms | rate=50Mbps,cubic,47.81858826919523,cubic,0.9563717653839046
loss | loss=0.01% | delay=50ms | rate=50Mbps,bbrv3,47.02857147689075,bbrv3,0.940571429537815
loss | loss=0.1% | delay=50ms | rate=50Mbps,bbrv3,46.99368226681282,bbrv3,0.9398736453362563
loss | loss=0.5% | delay=50ms | rate=50Mbps,bbrv3,46.48908281219191,bbrv3,0.9297816562438381
loss | loss=1% | delay=50ms | rate=50Mbps,bbrv3,46.17006838139934,bbrv3,0.9234013676279866
loss | loss=3% | delay=50ms | rate=50Mbps,bbrv3,45.2962450426502,bbrv3,0.905924900853004
rate | loss=0% | delay=50ms | rate=1Mbps,cubic,0.9495480530368825,cubic,0.9495480530368825
rate | loss=0% | delay=50ms | rate=5Mbps,cubic,4.782650638698816,cubic,0.9565301277397632
rate | loss=0% | delay=50ms | rate=10Mbps,cubic,9.56418867326747,cubic,0.9564188673267469
rate | loss=0% | delay=50ms | rate=25Mbps,cubic,23.90985877538873,cubic,0.9563943510155491
rate | loss=0% | delay=50ms | rate=50Mbps,cubic,47.82082928035967,cubic,0.9564165856071936
rate | loss=0% | delay=50ms | rate=75Mbps,cubic,71.73192903885831,cubic,0.9564257205181107
